sample_id,study_id,timepoint,arm,Prevotella,Bifidobacterium,Lactobacillus,Clostridium,Faecalibacterium,Lachnospiraceae_unclassified,Ruminococcus,Dorea,Blautia,Roseburia,Eubacterium,Firmicutes_unclassified,Succinatimonas,Dialister,Coprococcus,Streptococcus,Escherichia,Collinsella,Bacteroides,Megasphaera
ST-30104-PW,PW:1538,32wk,Arm D,60.87843,0.55231,0.41149,0.58801,3.0481,7.41095,0.50568,1.85629,0.80057,2.91904,1.17763,0.0,6.34704,1.87548,0.61218,0.0,0.31318,0.56535,0.45292,0.0
ST-30105-PW,PW:1515,32wk,Arm B,42.98694,22.40197,2.18406,1.62497,3.28922,5.06251,1.36113,1.86192,1.17594,2.5807,0.69996,0.09975,0.0,3.58735,0.53018,1.31607,0.42787,0.99641,0.30478,0.18991
ST-30106-PW,PW:1463,32wk,Arm A,10.37989,6.2423,0.96308,7.30008,3.20277,1.1879,19.2414,12.9631,2.2691,0.59599,5.33356,3.78113,0.0,3.0564,3.98515,0.04911,0.0165,2.66206,0.29986,0.0
ST-30107-PW,PW:1458,32wk,Arm D,45.68987,15.92949,7.62524,0.09791,1.42785,3.04344,0.53749,1.88971,1.92809,2.96747,0.92484,0.08626,0.0,0.15163,0.48666,0.04775,4.23304,2.20676,4.37537,0.34357
ST-30108-PW,PW:1081,32wk,Arm D,8.48157,15.04181,0.88278,2.21851,1.50812,0.88467,16.40088,6.3762,1.38736,0.47356,1.69726,3.28153,1.37109,2.41819,2.22865,1.22445,0.00983,0.35492,2.30589,2.07535
ST-30109-PW,PW:1593,32wk,Arm C,7.90881,2.69591,1.63859,5.35394,5.40414,2.15121,21.36973,7.6116,10.72259,5.25945,3.28108,3.07608,0.0,5.45231,1.88185,0.42662,0.45575,1.76762,0.8346,0.0
ST-30110-PW,PW:1507,32wk,Arm A,23.3045,23.37464,0.75325,4.93463,5.73914,1.18127,3.51791,2.88904,2.8259,5.17462,3.16002,2.57479,0.21629,3.73453,2.03269,1.12648,0.0,1.44635,0.69637,0.1188
ST-30111-PW,PW:1495,32wk,Arm A,46.27506,14.62663,0.44642,3.14993,3.29965,0.63395,5.4756,2.47951,1.00155,4.92805,0.89976,0.70083,1.0165,3.31298,1.1959,0.30328,0.50559,0.6096,0.83947,1.80835
ST-30112-PW,PW:1492,32wk,Arm C,55.24446,5.30969,6.80345,2.18247,4.10537,2.20547,1.16601,2.34495,2.25919,8.88972,2.1343,0.05204,0.0,0.97543,1.28737,1.43444,0.07735,1.20952,0.14405,0.0
ST-30113-PW,PW:1592,32wk,Arm A,2.13654,38.83076,6.17475,5.82225,1.63564,0.91149,3.38173,4.78922,3.82965,0.627,2.94212,2.75396,0.0,3.28905,1.46194,0.00228,0.23523,4.26731,0.33392,9.13207
ST-30114-PW,PW:1526,32wk,Arm A,74.70075,5.10249,1.26193,3.75291,2.01243,1.70355,0.01913,0.78735,0.25334,1.42743,0.05923,0.0,0.0,2.99446,0.08302,0.00659,0.0,0.22446,0.11477,0.80893
